City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,shalqar,47.8333,59.6,88.25,16,95,10.09,KZ,1686634193
85,embi,48.8264,58.1442,80.29,27,100,16.37,KZ,1686634194
86,rajshahi,24.3667,88.6,98.4,44,1,9.55,BD,1686634195
87,kidal,18.4411,1.4078,83.52,51,23,9.71,ML,1686634197
88,montepuez,-13.1256,38.9997,64.78,86,27,2.44,MZ,1686634198
89,coari,-4.085,-63.1414,75.45,87,73,3.09,BR,1686634199
90,yarmouth,41.7057,-70.2286,64.96,95,100,10.36,US,1686634163
91,chimbote,-9.0853,-78.5783,70.07,81,52,10.4,PE,1686633981
92,waingapu,-9.6567,120.2641,83.5,52,39,15.99,ID,1686634202
93,richards bay,-28.783,32.0377,62.92,83,2,4.27,ZA,1686634204
94,san patricio,28.017,-97.5169,82.85,90,61,12.15,US,1686634205
95,mastic beach,40.7668,-72.8521,67.98,97,100,14.0,US,1686634206
96,kuching,1.55,110.3333,95.22,55,20,2.3,MY,1686634208
97,tralee,52.2704,-9.7026,61.48,95,96,2.75,IE,1686634209
98,kasempa,-13.4584,25.8338,65.53,44,58,1.25,ZM,1686634210
99,sile,41.1754,29.6133,68.67,67,100,7.0,TR,1686634212
100,susuman,62.7833,148.1667,42.24,88,100,12.01,RU,1686634214
101,salyan,39.5936,48.9805,87.8,41,21,7.07,AZ,1686634215
102,cabo san lucas,22.8909,-109.9124,80.62,60,1,15.77,MX,1686634077
103,banda aceh,5.5577,95.3222,88.97,58,46,15.93,ID,1686634217
104,vila franca do campo,37.7167,-25.4333,66.61,99,100,8.86,PT,1686634219
105,mejit,10.2753,170.8646,82.33,82,93,18.61,MH,1686634221
106,walvis bay,-22.9575,14.5053,55.09,93,100,6.91,NA,1686634222
107,the pas,53.8251,-101.2541,64.42,72,100,6.91,CA,1686634223
108,armacao de buzios,-22.7469,-41.8817,64.45,92,0,5.82,BR,1686634224
109,olyokminsk,60.3736,120.4264,62.71,26,52,9.42,RU,1686634225
110,north bend,43.4065,-124.2243,57.16,94,100,5.75,US,1686633965
111,verkhnevilyuysk,63.4453,120.3167,64.89,26,37,9.6,RU,1686634228
112,praia,14.9215,-23.5087,75.74,73,0,19.57,CV,1686634229
113,lares,18.2947,-66.8771,78.48,92,4,5.1,PR,1686634230
114,mao,39.8885,4.2658,70.36,94,20,4.61,ES,1686634231
115,maba,24.6841,113.5984,86.54,72,59,5.06,CN,1686634233
116,funafuti,-8.5243,179.1942,87.8,84,40,9.22,TV,1686634234
117,ghat,24.9647,10.1728,88.02,17,6,5.28,LY,1686634235
118,wildwood,38.5828,-90.6629,61.25,76,0,0.0,US,1686634236
119,broken hill,-31.95,141.4333,59.74,43,1,22.3,AU,1686633974
120,fuyang,32.9,115.8167,93.42,24,24,6.85,CN,1686634238
121,evanston,42.0411,-87.6901,60.98,66,40,12.66,US,1686634031
122,nar'yan-mar,67.6713,53.087,56.41,46,91,12.12,RU,1686634241
123,la mira,18.035,-102.3266,78.35,83,5,2.84,MX,1686634242
124,hilvan,37.5869,38.9551,74.28,53,0,5.75,TR,1686634243
125,kyzylorda,44.8528,65.5092,89.62,11,9,31.32,KZ,1686634244
126,bir el hafey,34.9321,9.1932,73.06,56,99,1.92,TN,1686634246
127,el soberbio,-27.2985,-54.1988,46.31,76,93,3.42,AR,1686634247
128,kokoda,-8.8785,147.7407,79.63,91,83,3.6,PG,1686634248
129,urangan,-25.3,152.9,70.05,66,0,5.86,AU,1686634249
130,saint-francois,46.4154,3.9054,60.67,94,76,0.0,FR,1686634251
131,taoudenni,22.6783,-3.9836,88.03,15,30,10.54,ML,1686634252
132,cill airne,52.05,-9.5167,61.09,92,89,2.06,IE,1686634253
133,dabrowa tarnowska,50.1746,20.9863,51.89,84,43,4.81,PL,1686634254
134,badger,64.8,-147.5333,57.07,59,100,9.22,US,1686634255
135,bikenibeu village,1.3673,173.1241,87.76,74,40,3.44,KI,1686634257
136,monitos,8.25,-76.05,77.43,93,100,4.45,CO,1686634258
137,mmabatho,-25.85,25.6333,31.96,93,0,0.0,ZA,1686634259
138,adzope,6.1069,-3.8619,68.49,95,74,1.61,CI,1686634260
139,anjozorobe,-18.4,47.8667,64.99,55,0,2.59,MG,1686634262
140,cape canaveral,28.4058,-80.6048,81.99,86,0,10.36,US,1686634263
141,opuwo,-18.0607,13.84,51.94,18,12,6.35,NA,1686634264
142,chandler,33.3062,-111.8412,83.75,27,0,8.05,US,1686634116
143,adam,22.3756,57.5233,104.41,18,99,2.19,OM,1686634266
144,auki,-8.7676,160.7034,82.78,80,30,2.26,SB,1686634268
145,newman,37.3138,-121.0208,70.14,65,52,5.19,US,1686634269
146,china,25.7,-99.2333,82.27,73,0,18.45,MX,1686634042
147,shache,38.4167,77.2406,94.87,11,100,9.35,CN,1686634271
148,ericeira,38.9627,-9.4156,65.35,86,5,13.15,PT,1686634272
149,luwuk,-0.9516,122.7875,79.65,87,100,0.83,ID,1686634273
150,dem'yanovo,60.3511,47.0842,64.65,49,89,7.29,RU,1686634275
151,piatykhatky,48.4133,33.7106,57.15,86,99,10.63,UA,1686634276
152,medicine hat,50.0501,-110.6683,70.21,64,0,4.61,CA,1686634277
153,sicuani,-14.2694,-71.2261,40.57,84,2,3.29,PE,1686634278
154,nago,26.5881,127.9761,83.25,96,100,8.14,JP,1686634281
155,humaita,-7.5061,-63.0208,74.71,93,83,1.01,BR,1686634282
156,myeik,12.4333,98.6,81.43,83,99,9.51,MM,1686634283
157,punto fijo,11.6956,-70.1996,80.49,84,18,26.11,VE,1686634284
158,dunay,42.8803,132.3375,59.36,87,74,7.56,RU,1686634285
159,pangai,-19.8,-174.35,73.51,83,75,11.5,TO,1686634287
160,nushki,29.5542,66.0215,97.99,8,14,7.61,PK,1686634288
161,kilindoni,-7.9139,39.6668,79.11,66,1,10.51,TZ,1686634042
162,enriquillo,17.9,-71.2333,78.78,87,6,12.26,DO,1686634290
